idP1,idP2
0,5189
0,516
0,7464
5,12802
5,390
5,91
5,2116
5,2005
5,1132
8,13592
8,919
8,8892
8,14996
8,16262
8,625
8,1602
8,18159
8,8564
8,129
8,2228
8,796
8,13442
8,1324
8,17710
8,950
8,2168
8,11838
8,1149
10,9389
12,16308
12,247
13,8414
15,17910
15,132
15,1031
15,8506
16,1783
16,1269
16,2057
21,257
22,878
22,1217
22,17917
22,11097
22,10857
22,11520
22,8763
22,1172
22,11993
22,549
22,8116
22,464
22,12811
22,7391
22,1437
22,9110
22,7934
22,201
22,13409
23,1644
24,15080
24,15308
24,1165
24,6
25,105
26,496
28,1207
30,10363
30,1479
30,3848
30,11982
30,4753
32,523
32,10068
32,283
32,17836
32,11757
32,7983
32,9630
32,10821
32,10258
32,1245
32,10043
32,11814
32,18448
32,18818
32,11971
32,9116
32,19082
32,12487
32,1520
32,17961
32,12022
32,10461
32,12425
33,741
34,7018
35,11629
35,4464
35,4213
35,4944
35,12323
35,17183
36,11868
36,695
36,406
37,18408
37,1256
37,1591
37,19164
38,1049
38,11813
38,9642
38,3792
38,13913
39,2303
39,17797
39,19321
39,5543
39,6944
39,3008
39,18110
40,2128
40,9116
40,9484
40,925
40,11842
48,626
48,2186
50,18256
51,18090
53,12293
53,12020
55,1939
55,353
55,4
56,13707
56,2046
57,10780
57,9746
57,12125
58,740
59,13453
59,13104
59,573
59,1292
59,13443
60,16871
60,10174
60,18757
60,9753
60,257
61,2084
65,14348
66,13441
66,18374
67,8101
67,17112
67,13928
67,17545
67,17033
67,10764
67,9186
67,9408
67,1924
67,10962
67,1078
71,49
71,953
71,1678
73,432
76,3113
76,3899
76,8523
79,18693
79,497
83,10406
83,1975
83,11003
83,1277
83,9221
83,9175
83,10856
84,1031
84,8990
84,1243
89,1852
89,7722
90,1495
91,1470
91,10051
91,1460
93,10126
93,17664
93,19565
93,7537
93,79
93,12299
93,6469
93,13013
93,1684
93,8192
93,1663
93,1037
93,17842
96,813
96,2416
97,12405
97,1547
97,11853
97,17626
97,10839
97,87
97,7545
97,8846
97,17157
97,1945
98,3250
99,1901
101,905
102,16617
102,9732
103,1717
103,18988
103,13808
103,8313
104,10123
104,17462
104,462
106,12151
107,1206
109,1605
111,1663
111,1715
111,14160
112,8885
114,10805
114,8107
114,2195
114,8090
116,556
118,1378
120,609
120,1442
120,3345
120,7077
121,11106
121,12953
121,731
123,1721
123,117
124,6278
124,6401
126,10839
130,4112
131,9323
132,8506
133,3642
133,4066
133,8828
133,8709
133,2970
133,2714
134,19346
134,322
134,1150
136,2181
137,916
137,11516
138,1506
138,961
140,2169
141,958
144,2189
144,2021
144,2283
144,2175
146,42
146,1078
146,8891
146,11254
148,1908
148,1271
149,406
150,1381
153,887
153,1661
156,1411
156,350
157,232
158,1264
163,1474
163,10484
163,17467
164,4512
164,1704
164,327
164,4312
164,3765
165,1608
166,7177
166,132
167,1419
170,9116
170,9195
170,8381
170,7573
172,12062
172,12113
173,17544
175,887
175,1978
181,8137
181,825
181,1658
182,9214
182,8205
182,18199
185,8053
186,14126
187,13633
189,9667
189,1299
189,7096
189,12365
190,13075
193,1695
193,1039
194,17029
195,584
195,7502
195,447
197,1384
197,689
198,12301
200,1803
200,1265
200,443
200,2063
200,13909
200,10014
201,13857
201,2
201,1706
203,12886
203,1232
203,872
205,15043
205,1734
205,1884
205,7262
208,498
210,1868
210,1486
210,2131
210,1864
213,7092
213,787
213,1633
213,1621
213,345
213,18222
213,1783
214,857
215,956
215,1627
216,158
216,12023
218,7752
218,1799
220,950
220,1360
220,2228
220,1834
220,625
220,1019
220,8
221,993
223,4377
223,4269
223,8037
223,667
223,632
223,9208
223,2095
225,888
227,11435
228,16583
228,12649
228,18795
228,8069
228,1872
228,16424
228,1668
228,19161
228,11943
228,1993
228,7076
228,17294
231,933
234,18367
235,2058
236,1462
237,28
238,7661
238,7871
239,10487
239,7637
239,10731
239,884
240,272
240,13142
241,12046
241,9717
241,7828
241,13462
241,16804
241,2919
241,1174
241,13081
241,9732
241,18374
241,7596
241,2184
241,12325
241,10385
241,17608
241,9478
241,17486
241,102
242,12173
243,10079
243,846
243,7388
243,9583
243,2120
243,1134
243,1007
244,11405
244,10215
244,1313
245,17805
245,2265
245,9718
245,19454
250,11170
250,453
251,1024
253,18065
253,18350
253,1080
253,626
256,743
256,899
256,1784
256,91
259,873
259,13538
261,279
261,1711
262,11123
262,2205
262,18846
263,8069
263,948
264,684
264,254
266,132
268,1913
268,18456
269,9940
269,10460
269,13015
269,8877
270,2283
270,100
272,1132
272,199
275,681
278,1327
279,1740
280,1704
281,3038
282,1470
282,91
286,5117
287,1784
292,1809
292,10051
292,10435
292,1937
292,628
294,14850
294,11338
294,11522
294,12622
294,11589
294,12645
294,7484
294,7601
294,16918
299,1978
299,2217
301,2118
301,2376
303,4702
303,5565
303,837
303,10846
303,10620
303,13870
303,3732
306,17454
306,767
306,1869
306,606
306,8544
306,17980
306,17976
306,19246
307,11901
307,12996
309,9525
309,12405
309,7369
310,13953
310,13657
312,1332
312,19164
313,931
314,1378
314,7995
315,7492
315,8090
315,1886
315,13153
315,13169
315,9342
315,13323
316,13915
316,14608
318,136
321,8078
321,17716
321,8961
322,19346
322,10029
323,1607
323,18169
323,13544
323,11157
323,1314
324,1558
324,14809
324,5584
324,1383
324,1393
324,19018
325,500
325,10786
325,14832
325,1387
327,135
327,3383
327,4379
327,5164
329,479
329,109
329,11925
329,34
329,1790
329,11740
329,534
330,10904
330,13606
330,636
330,10384
330,12352
330,13672
330,11834
330,8519
330,11995
330,914
330,11922
330,11965
330,10619
330,315
330,12002
330,11100
330,13801
330,12768
330,9872
330,9039
331,1363
332,606
332,471
334,12155
334,602
334,3234
334,2947
334,2758
334,7138
334,130
334,847
335,7320
339,11293
339,11471
339,12108
339,12687
340,1162
340,1076
341,9949
342,1456
342,12619
343,174
344,19523
346,308
347,16083
348,11231
348,11710
348,12646
348,12500
348,11037
348,12925
348,13202
348,13947
348,9249
348,10302
348,7002
348,9370
350,107
352,13890
352,4118
352,929
352,1748
356,993
359,9305
359,1982
361,18374
361,13180
361,2037
361,13441
361,66
361,12639
362,12284
363,8151
367,1802
367,2217
369,18474
370,7703
370,12207
370,1944
370,12663
370,18569
371,1549
371,2171
371,10846
371,1031
371,344
371,12740
371,84
371,1914
371,1398
371,15
371,132
372,225
372,1734
372,888
372,1567
372,428
372,809
373,1803
373,19000
375,885
375,109
375,5199
377,1705
379,1792
380,13013
380,17253
380,1674
382,14857
385,18421
387,5088
388,13337
388,13692
388,9721
388,11741
388,18852
388,12261
388,6129
389,880
394,885
395,3859
395,2679
395,16610
396,6869
399,1000
399,7821
399,132
401,1144
401,1740
402,18187
402,9014
403,1314
403,194
403,10308
403,19237
403,17029
403,14008
403,1607
403,8837
403,18159
403,12469
404,1760
405,1569
406,365
407,16539
407,17625
408,1705
408,1409
412,317
412,1131
412,16482
412,8540
412,7981
412,13102
413,455
414,2264
414,18254
415,632
415,411
415,1965
415,672
416,1293
418,1011
418,2478
419,1557
420,17531
421,9107
421,1601
421,7978
422,13940
425,11098
426,1470
426,91
433,4211
433,1040
433,17533
438,1638
438,9617
438,525
440,7833
440,972
441,2069
442,7831
442,19563
443,18124
443,1468
443,1265
443,10014
444,13117
444,174
447,872
447,2055
454,682
454,1728
454,4269
454,1914
454,2531
454,17620
454,632
454,5351
454,7323
454,12811
454,667
454,8355
454,3105
454,241
454,861
454,12325
454,18241
454,579
454,6652
454,649
454,13724
454,1217
454,7205
454,12839
454,8847
454,1056
454,867
454,3600
454,2095
454,2940
454,619
454,11579
454,9478
454,6335
454,929
454,84
454,18426
454,223
454,11004
454,9318
454,8116
454,1965
454,7903
456,1260
458,4
460,375
460,739
460,329
463,1255
463,15285
463,16262
463,17830
466,658
466,8006
468,1227
472,610
473,830
476,10945
476,887
476,42
477,252
477,2015
478,16085
482,1739
483,527
488,2169
488,1024
491,1816
491,0
491,4726
491,3142
491,9030
491,16462
495,17318
495,17383
495,18210
495,13141
498,1306
498,353
498,1939
503,12025
503,9990
503,1490
503,7703
503,8802
503,9085
503,182
508,16714
508,18366
508,12244
509,13300
509,12586
512,6854
512,9795
512,7803
512,9557
512,6817
512,16720
513,1784
514,6226
515,1077
518,8912
518,2259
518,10529
518,7319
518,10453
518,12105
518,11297
518,7466
518,18988
518,16976
518,8826
518,2211
518,103
518,19186
518,16741
518,808
518,8175
518,7621
518,13808
518,16903
518,8874
518,10093
519,19199
519,18421
519,1880
519,8885
519,1031
522,13793
522,10070
522,9402
522,8516
522,1044
522,325
524,7647
524,10305
525,1077
527,17532
530,2120
533,18750
533,19346
533,322
534,276
534,7882
534,34
534,11740
534,9257
534,4112
534,16970
534,18355
534,11452
535,1725
537,500
538,8452
538,10557
538,42
538,12317
538,8518
541,637
541,64
542,2242
543,7675
547,13915
547,1172
547,8028
550,947
550,11922
550,11375
551,11505
552,1455
552,12576
552,12557
552,18466
553,13140
553,12163
553,13028
555,0
555,500
555,10926
555,9011
555,11620
555,7946
555,1172
555,547
557,6379
557,13821
557,2478
557,807
557,3687
557,3616
558,4670
565,11394
573,1706
576,689
577,8518
577,42
577,11894
577,13467
577,17119
577,8750
577,12117
579,1398
579,2180
579,344
579,1378
584,689
586,17638
586,10709
586,16895
586,1454
586,17492
586,11795
588,4835
589,350
589,1550
593,337
595,812
595,8165
595,7433
597,1912
597,1825
597,314
598,5280
598,12634
598,5253
598,2203
598,3199
598,1050
599,18619
599,236
599,11765
599,871
599,10627
600,16733
602,12046
602,2967
605,7703
605,12025
605,12459
606,7355
606,1869
606,8544
606,7700
606,17976
614,11971
615,1040
615,5141
615,1648
616,188
617,11654
618,11782
618,7684
618,10838
618,1850
618,10530
618,14422
618,7557
619,84
619,18470
619,7258
623,3444
624,4053
624,5887
624,1762
625,7579
625,11915
625,578
625,9351
625,7871
625,10704
625,209
625,177
625,9404
625,18818
625,14858
625,18155
625,8539
625,15417
625,18326
625,1087
625,17309
625,7808
625,9884
625,11259
625,8439
625,9613
625,8484
625,10417
625,11505
625,10309
625,7971
625,9813
625,9754
625,10804
625,2228
625,8158
625,8567
625,4430
625,15128
626,757
626,1313
632,4269
632,176
632,158
632,8037
632,7297
633,2364
633,2400
633,5010
633,10441
633,1137
633,5604
633,1049
633,6669
633,732
633,17746
633,19280
638,2997
